,Unnamed: 0,star_name,distance,mass,radius,Gravity
1,1,SDSS J000013.54+255418.6 [de],46.1,0.02863764,0.00082094568,11654277.647364773
3,3,2MASS J00242463-0158201,37.7,0.02863764,0.00082094568,11654277.647364773
4,4,2MASS J00274197+0503417,236,0.02863764,0.00082094568,11654277.647364773
5,5,2MASSW J0030300-145033,87.2,0.02863764,0.00082094568,11654277.647364773
6,6,2MASS J00332386-1521309 [de],131,0.02863764,0.00082094568,11654277.647364773
7,7,2MASS J00345157+0523050,31,0.02863764,0.00082094568,11654277.647364773
8,8,2MASS 0036+1821,28.6,0.02863764,0.00082094568,11654277.647364773
9,9,2MASSW J0045214+163445,57,0.02863764,0.00082094568,11654277.647364773
10,10,WISEP J004701.06+680352.1 [fr],40,0.02863764,0.00082094568,11654277.647364773
11,11,2MASS J00501994-3322402 [de],34,0.02863764,0.00082094568,11654277.647364773
12,12,2MASS J00584253-0651239 [de],96,0.02863764,0.00082094568,11654277.647364773
13,13,2MASSI J0103320+193536,70,0.02863764,0.00082094568,11654277.647364773
14,14,SDSSp J010752.33+004156.1 [de],51,0.02863764,0.00082094568,11654277.647364773
15,15,2MASSI J0117474-340325 [de],163,0.02863764,0.00082094568,11654277.647364773
16,16,2MASS J01415823-4633574 [de],130,0.02863764,0.00082094568,11654277.647364773
17,17,SDSS J015141.69+124429.6,70,0.02863764,0.00082094568,11654277.647364773
18,18,SDSS J020742.48+000056.2 [de],111,0.02863764,0.00082094568,11654277.647364773
19,19,2MASS J02103857-3015313,101,0.02863764,0.00082094568,11654277.647364773
20,20,2MASS J02340093-6442068,155,0.02863764,0.00082094568,11654277.647364773
21,21,2MASS J02411151-0326587 [de],152,0.02863764,0.00082094568,11654277.647364773
22,22,2MASS J02431371−2453298,35,0.02863764,0.00082094568,11654277.647364773
23,23,LP 771-21,53,0.02863764,0.00082094568,11654277.647364773
24,24,Teegarden's star,12.578,0.02863764,0.00082094568,11654277.647364773
25,25,2MASS J02535980+3206373,184,0.02863764,0.00082094568,11654277.647364773
26,26,WISE J0254+0223,24,0.02863764,0.00082094568,11654277.647364773
27,27,DEN 0255-4700,16.2,0.02863764,0.00082094568,11654277.647364773
28,28,2MASS J03185403-3421292 [de],45,0.02863764,0.00082094568,11654277.647364773
29,29,2MASS J03205965+1854233,47,0.02863764,0.00082094568,11654277.647364773
30,30,2MASS J03231002-4631237,192,0.02863764,0.00082094568,11654277.647364773
31,31,SDSS J032553.17+042540.1,59,0.02863764,0.00082094568,11654277.647364773
32,32,2MASS J03264225-2102057 [de],80,0.02863764,0.00082094568,11654277.647364773
33,33,2MASS J03284265+2302051 [de],98,0.02863764,0.00082094568,11654277.647364773
34,34,2MASS J03341218-4953322,27.0,0.02863764,0.00082094568,11654277.647364773
35,35,LP 944-20,20.9,0.02863764,0.00082094568,11654277.647364773
36,36,2MASP J0345432+254023,88,0.02863764,0.00082094568,11654277.647364773
37,37,Teide 1,380,0.02863764,0.00082094568,11654277.647364773
38,38,2MASS J03510004-0052452,48,0.02863764,0.00082094568,11654277.647364773
39,39,2MASS J03552337+1133437,29.8,0.02863764,0.00082094568,11654277.647364773
40,40,2MASS J04151954−0935066,18.6,0.02863764,0.00082094568,11654277.647364773
41,41,2MASS J04285096-2253227 [de],85,0.02863764,0.00082094568,11654277.647364773
42,42,2MASS J04351612-1606574,34,0.02863764,0.00082094568,11654277.647364773
43,43,2MASS J04362788-4114465,142,0.02863764,0.00082094568,11654277.647364773
44,44,2MASS J04390101-2353083 [de],29.5,0.02863764,0.00082094568,11654277.647364773
45,45,2MASS J04433764+0002040,82,0.02863764,0.00082094568,11654277.647364773
46,46,2MASS J04455387-3048204 [de],42,0.02863764,0.00082094568,11654277.647364773
47,47,2MASS J04510093-3402150 [de],69,0.02863764,0.00082094568,11654277.647364773
48,48,2MASS J05002100+0330501 [de],44,0.02863764,0.00082094568,11654277.647364773
49,49,2MASS J05012406-0010452 [de],64,0.02863764,0.00082094568,11654277.647364773
50,50,2MASS J05160945-0445499 [de],73,0.02863764,0.00082094568,11654277.647364773
51,51,2MASS J0523−1403,40,0.02863764,0.00082094568,11654277.647364773
52,52,SDSS J053951.99-005902.0,41.62,0.02863764,0.00082094568,11654277.647364773
53,53,LSR 0602+3910 [de],34.6,0.02863764,0.00082094568,11654277.647364773
54,54,2MASS J06085283-2753583,102,0.02863764,0.00082094568,11654277.647364773
55,55,2MASS J06244595-4521548 [de],39,0.02863764,0.00082094568,11654277.647364773
56,56,2MASS J06411840-4322329 [de],65,0.02863764,0.00082094568,11654277.647364773
57,57,DENIS-P J0652197-253450 [de],51,0.02863764,0.00082094568,11654277.647364773
58,58,2MASS J07075327-4900503,60,0.02863764,0.00082094568,11654277.647364773
59,59,UGPS J072227.51-054031.2,13.4,0.02863764,0.00082094568,11654277.647364773
60,60,2MASSI J0727182+171001 [de],29.6,0.02863764,0.00082094568,11654277.647364773
61,61,2MASS J07290002-3954043 [de],25.8,0.02863764,0.00082094568,11654277.647364773
62,62,SDSS J074201.41+205520.5 [de],49,0.02863764,0.00082094568,11654277.647364773
63,63,DENIS-P J0751164-253043 [de],55,0.02863764,0.00082094568,11654277.647364773
64,64,2MASS J07522390+1612157,60,0.02863764,0.00082094568,11654277.647364773
65,65,DENIS J081730.0-615520,16.1,0.02863764,0.00082094568,11654277.647364773
66,66,2MASS J08251968+2115521 [de],35,0.02863764,0.00082094568,11654277.647364773
67,67,SDSSp J083008.12+482847.4 [de],43,0.02863764,0.00082094568,11654277.647364773
68,68,LHS 2021,55,0.02863764,0.00082094568,11654277.647364773
69,69,SDSS J083048.80+012831.1 [de],77,0.02863764,0.00082094568,11654277.647364773
70,70,2MASSI J0835425-081923 [de],23.53,0.02863764,0.00082094568,11654277.647364773
71,71,2MASSI J0847287-153237 [de],43,0.02863764,0.00082094568,11654277.647364773
72,72,2MASS J08533619-0329321,27.6,0.02863764,0.00082094568,11654277.647364773
73,73,2MASSI J0859254-194926 [de],50,0.02863764,0.00082094568,11654277.647364773
74,74,2MASSI J0937347+293142,20.0,0.02863764,0.00082094568,11654277.647364773
75,75,2MASS 0939−2448,17.4,0.02863764,0.00082094568,11654277.647364773
76,76,2MASS J09490860-1545485 [de],59,0.02863764,0.00082094568,11654277.647364773
77,77,2MASS J10073369-4555147,46,0.02863764,0.00082094568,11654277.647364773
78,78,2MASSI J1010148-040649 [de],55,0.02863764,0.00082094568,11654277.647364773
79,79,2MASS J10224821+5825453 [de],60,0.02863764,0.00082094568,11654277.647364773
80,80,2MASSW J1036530-344138 [de],53,0.02863764,0.00082094568,11654277.647364773
81,81,2MASS J1047538+212423 [de],34.4,0.02863764,0.00082094568,11654277.647364773
82,82,DEN 1048-3956,13.15,0.02863764,0.00082094568,11654277.647364773
83,83,Luhman 16B,6.516,0.02863764,0.00082094568,11654277.647364773
84,84,Luhman 16A,6.516,0.02863764,0.00082094568,11654277.647364773
85,85,DENIS-P J1058.7−1548,49,0.02863764,0.00082094568,11654277.647364773
86,86,TWA 28,180,0.02863764,0.00082094568,11654277.647364773
87,87,Cha 110913-773444,163,0.02863764,0.00082094568,11654277.647364773
88,88,SDSS J111010.01+011613.1,63,0.02863764,0.00082094568,11654277.647364773
89,89,2MASS J11145133−2618235,18.2,0.02863764,0.00082094568,11654277.647364773
90,90,TWA 26,137,0.02863764,0.00082094568,11654277.647364773
91,91,2MASS J11544223-3400390 [de],129,0.02863764,0.00082094568,11654277.647364773
92,92,2MASSW J1155395-372735 [de],31,0.02863764,0.00082094568,11654277.647364773
93,93,2MASS J12074836-3900043,217,0.02863764,0.00082094568,11654277.647364773
94,94,2MASSI J1217110-031113 [de],36,0.02863764,0.00082094568,11654277.647364773
95,95,2M 1237+6526,45.6,0.02863764,0.00082094568,11654277.647364773
96,96,TWA 29,262,0.02863764,0.00082094568,11654277.647364773
97,97,SDSSp J125453.90-012247.4 [de],38,0.02863764,0.00082094568,11654277.647364773
98,98,Kelu-1A,61,0.02863764,0.00082094568,11654277.647364773
99,99,Kelu-1B,61,0.02863764,0.00082094568,11654277.647364773
100,100,2MASS J13204427+0409045,101,0.02863764,0.00082094568,11654277.647364773
101,101,SDSSp J132629.82-003831.5 [de],65,0.02863764,0.00082094568,11654277.647364773
102,102,SDSSp J134646.45-003150.4 [de],48,0.02863764,0.00082094568,11654277.647364773
103,103,2MASS J13595510-4034582,51,0.02863764,0.00082094568,11654277.647364773
104,104,ULAS J141623.94+134836.3,29.7,0.02863764,0.00082094568,11654277.647364773
105,105,SDSS J141659.78+500626.4 [de],149,0.02863764,0.00082094568,11654277.647364773
106,106,DENIS-P J142527.97-365023.4 [de],38,0.02863764,0.00082094568,11654277.647364773
107,107,LHS 2924,38.5,0.02863764,0.00082094568,11654277.647364773
108,108,2MASS J14392837+1929150,47,0.02863764,0.00082094568,11654277.647364773
109,109,LSPM J1440+1339,72,0.02863764,0.00082094568,11654277.647364773
110,110,2MASS J14482563+1031590 [de],47,0.02863764,0.00082094568,11654277.647364773
111,111,CFBDSIR 1458+10A,104,0.02863764,0.00082094568,11654277.647364773
112,112,CFBDSIR 1458+10B,104,0.02863764,0.00082094568,11654277.647364773
113,113,TVLM 513-46546,35.1,0.02863764,0.00082094568,11654277.647364773
114,114,2MASS 1503+2525,20.7,0.02863764,0.00082094568,11654277.647364773
115,115,CFBDS J150411+102717,71,0.02863764,0.00082094568,11654277.647364773
116,116,2MASSW J1506544+132106 [de],46,0.02863764,0.00082094568,11654277.647364773
117,117,2MASS 1507−1627,23.9,0.02863764,0.00082094568,11654277.647364773
118,118,TVLM 868-110639,53,0.02863764,0.00082094568,11654277.647364773
119,119,2MASSW J1515008+484742 [de],34,0.02863764,0.00082094568,11654277.647364773
120,120,2MASSI J1526140+204341 [de],67,0.02863764,0.00082094568,11654277.647364773
121,121,DENIS-P J153941.96-052042.4 [de],51,0.02863764,0.00082094568,11654277.647364773
122,122,2MASS J15462718-3325111 [de],37,0.02863764,0.00082094568,11654277.647364773
123,123,2MASSW J1552591+294849 [de],68,0.02863764,0.00082094568,11654277.647364773
124,124,2MASSW J1555157-095605 [de],44,0.02863764,0.00082094568,11654277.647364773
125,125,2MASS J16150413+1340079 [de],48,0.02863764,0.00082094568,11654277.647364773
126,126,SDSSp J162414.37+002915.6 [de],36,0.02863764,0.00082094568,11654277.647364773
127,127,2MASS J16262034+3925190 [de],110,0.02863764,0.00082094568,11654277.647364773
128,128,2MASSW J1632291+190441 [de],50,0.02863764,0.00082094568,11654277.647364773
129,129,WISEPA J164715.59+563208.2,28,0.02863764,0.00082094568,11654277.647364773
130,130,LSPM J1658+7027 [de],60,0.02863764,0.00082094568,11654277.647364773
131,131,2MASSI J1726000+153819,114,0.02863764,0.00082094568,11654277.647364773
132,132,SDSSp J175032.96+175903.9,90,0.02863764,0.00082094568,11654277.647364773
133,133,2MASS J18283572-4849046,39,0.02863764,0.00082094568,11654277.647364773
134,134,LSR J1835+3259,18.5,0.02863764,0.00082094568,11654277.647364773
135,135,2MASSW J1841086+311727,138,0.02863764,0.00082094568,11654277.647364773
136,136,2MASS J18432213+4040209,46,0.02863764,0.00082094568,11654277.647364773
137,137,2MASS J20004841-7523070,105,0.02863764,0.00082094568,11654277.647364773
138,138,SDSS J204749.61-071818.3,65,0.02863764,0.00082094568,11654277.647364773
139,139,2MASSI J2057540-025230,47,0.02863764,0.00082094568,11654277.647364773
140,140,2MASSI J2104149-103736,62,0.02863764,0.00082094568,11654277.647364773
141,141,PSO J318.5−22,80,0.02863764,0.00082094568,11654277.647364773
142,142,HB 2124-4228,113,0.02863764,0.00082094568,11654277.647364773
143,143,2MASS J21392676+0220226,32.1,0.02863764,0.00082094568,11654277.647364773
144,144,2MASS J21481628+4003593,26.3,0.02863764,0.00082094568,11654277.647364773
145,145,2MASSW J2206450-421721,93,0.02863764,0.00082094568,11654277.647364773
146,146,2MASSW J2208136+292121,154,0.02863764,0.00082094568,11654277.647364773
147,147,2MASSW J2224438-015852,38,0.02863764,0.00082094568,11654277.647364773
148,148,2MASS J22282889-4310262,35,0.02863764,0.00082094568,11654277.647364773
149,149,2MASS J22373255+3922398,64,0.02863764,0.00082094568,11654277.647364773
150,150,2MASSW J2244316+204343,56,0.02863764,0.00082094568,11654277.647364773
151,151,2MASS J23224684-3133231,56,0.02863764,0.00082094568,11654277.647364773
152,152,2MASS J23225299-6151275,148,0.02863764,0.00082094568,11654277.647364773
153,153,2MASS J23515044-2537367,67,0.02863764,0.00082094568,11654277.647364773
154,154,2MASSI J2356547-155310,74,0.02863764,0.00082094568,11654277.647364773
155,155,WISE 0410+1502,20,0.02863764,0.00082094568,11654277.647364773
156,156,WISE 0458+6434A,35.9,0.02863764,0.00082094568,11654277.647364773
157,157,WISE 0458+6434B,35.9,0.02863764,0.00082094568,11654277.647364773
158,158,WISE 1405+5534,25.3,0.02863764,0.00082094568,2.835923973537105e-06
